facility_id,facility_name,facility_other_names,sub_site_name,sub_site_other_names,facility_type,primary_commodity,commodities_products,facility_equipment,production_start,production_end,activity_status,activity_status_year,surface_area_sq_km,concession_area_sq_km,country
COM00163.00,Bozshakol,,,,Mine,Copper,"Gold, Copper, Silver",Open pit,2015.0,,,,,,Kazakhstan
COM00164.00,Bozymchak,,,,Mine,Copper,"Copper, Gold, Silver",Open pit,2014.0,,,,,,Kyrgyzstan
COM00165.00,Bracemac-McLeod,"Matagami, Matagami/Perseverance, Perseverance",,,Mine,Zinc,"Zinc, Lead, Copper",,,,,,,,Canada
COM00166.00,Brandspruit,,,,Mine,Coal,Coal,Underground,,2020.0,,,,,South Africa
COM00167.00,Bratsk Aluminium Smelter,,,,Smelter,Processing,"Aluminium, Aluminium slabs, Aluminium ingots, Aluminium T-bars, electrical wire rod",,,,,,,,Russian Federation
COM00168.00,Breapampa,,,,Mine,Gold,"Gold, Silver",,2012.0,2015.0,,,,,Peru
COM00169.00,Broadlea,,,,Mine,Coal,"Thermal coal, Metallurgical coal",Open pit,,,,,,,Australia
COM00170.00,Broadmeadow,,,,Mine,Other mine,Metallurgical bituminous coal,Underground,2005.0,,,,,,Australia
COM00171.00,Brocks Creek,,,,Mine,Other mine,Gold,,,2000.0,,,,,Australia
COM00172.00,Broken Hill,,,,Mine,Silver,"Silver, Lead, Zinc",,,,,,,,Australia
COM00173.00,BRPM,,,,Mine,Other mine,Platinum,,,,,,,,South Africa
COM00174.00,Brunswick,,,,Mine,Zinc,"Zinc, Lead, Copper, Silver",,,,,,,,Canada
COM00175.00,Bryansky,,,,Mine,Coal,Coal,Open pit,,,,,,,Russian Federation
COM00176.00,Buchanan,,,,Mine,Coal,Bituminous coal,Underground,1983.0,,,,,,United States of America
COM00177.00,Buckingham,,,,Mine,Coal,Bituminous coal,,2007.0,,,,,,United States of America
COM00178.00,Buenavista,"Cananea, Buenavista del Cobre",,,Mine,Copper,"Copper, Molybdenum, Copper Cathode, Silver","Open pit, SX-EW plant",1899.0,,,,,,Mexico
COM00179.00,Bulga,,,,Mine,Coal,"Metallurgical coal, Thermal coal",,,,,,,,Australia
COM00180.00,Bulyanhulu,,,,Mine,Gold,"Gold, Copper","Underground, CIL Circuit",,,,,,,Tanzania
COM00181.00,Burbanks,,,,Mine,Gold,Gold,Underground,,2015.0,,,,,Australia
COM00182.00,Burns Harbor,,,,"Smelter, Refinery",Processing,"Steel, hot-rolled sheet, cold-rolled sheet, hot dip galvanized sheet, steel plates","Coke plant, sinter plant, blast furnace, basic oxygen furnace, slab casters, hot strip mill, tandem mill, temper mill, hot dip galvanizing line",,,,,,,United States of America
COM00183.00,Burnstone,,,,Mine,Other mine,Gold,,,,,,,,South Africa
COM00184.00,Burton,,,,Mine,Coal,"Thermal coal, Metallurgical coal",Surface,,2016.0,,,,,Australia
COM00185.00,Buruktal,,,,Mine,Nickel,Nickel,,,,,,,,Russian Federation
COM00186.00,Buzwagi,,,,Mine,Gold,"Gold, Copper",Open Pit,,,,,,,Tanzania
COM00187.00,Bwana,Bwana Mkubwa,,,Refinery,Processing,Copper cathode,SX-EW Facility,,,,,,,Zambia
COM00188.00,Bystrinsky GOK,GRK Bystrinkoye,,,Mine,Copper,"Copper, Iron, Gold",Open pit,2018.0,,,,,,Russian Federation
COM00189.00,Caballo,,,,Mine,Coal,Thermal coal,Surface,,,,,,,United States of America
