facility_id,facility_name,facility_type,primary_commodity,commodities_products,facility_equipment,country,LOM_in_Buckets,still_operating
COM00707.02,LaRonde Complex,Mine,Gold,Gold,,Canada,4.0,1
COM00721.01,Leonora,Mine,Gold,Gold,Underground,Australia,5.0,0
COM00721.02,Leonora,Mine,Gold,Gold,"Underground, Open pit",Australia,13.0,1
COM00774.01,Mariana,Mine,Iron,Iron,Open pit,Brazil,21.0,1
COM00774.02,Mariana,Mine,Iron,Iron,Open pit,Brazil,16.0,1
COM00774.03,Mariana,Mine,Iron,Iron,Open pit,Brazil,45.0,1
COM00774.04,Mariana,Mine,Iron,Iron,Open pit,Brazil,37.0,1
COM00774.05,Mariana,Mine,Iron,Iron,Open pit,Brazil,39.0,1
COM00793.02,MetCoal,Mine,Coal,Coal,,Indonesia,2.0,1
COM00795.01,Mettiki Complex,Mine,Coal,Coal,Underground,United States of America,15.0,1
COM00810.02,Miguel Burnier,Mine,Iron,Iron ore,Open pit,Brazil,12.0,1
COM00818.01,Minas Centrais,Mine,Iron,Iron,Open pit,Brazil,21.0,1
COM00818.02,Minas Centrais,Mine,Iron,Iron,Open pit,Brazil,21.0,1
COM00818.03,Minas Centrais,Mine,Iron,Iron,Open pit,Brazil,27.0,1
COM00818.04,Minas Centrais,Mine,Iron,Iron,Open pit,Brazil,21.0,1
COM00852.03,Mount Goldsworthy,Mine,Iron,Iron,Open pit,Australia,18.0,1
COM00864.04,Mt Magnet,Mine,Gold,Gold,,Australia,5.0,1
COM00914.01,North Eastern Coalfields,Mine,Coal,Coal,"Open pit, Underground",India,35.0,1
COM00914.02,North Eastern Coalfields,Mine,Coal,Coal,Open pit,India,38.0,1
COM00918.01,Northern Coalfields Limited,Mine,Coal,Coal,,India,34.0,1
COM00955.01,Pampa Norte,Mine,Copper,Copper,Open pit,Chile,15.0,1
COM00962.01,Paraopeba,Mine,Iron,Iron,Open pit,Brazil,20.0,1
COM00962.02,Paraopeba,Mine,Iron,Iron,Open pit,Brazil,18.0,1
COM00962.03,Paraopeba,Mine,Iron,Iron,Open pit,Brazil,17.0,1
COM00974.01,Pennsylvania Mining Complex,Mine,Coal,Metallurgical coal,Underground,United States of America,37.0,1
COM00974.03,Pennsylvania Mining Complex,Mine,Coal,Metallurgical coal,Underground,United States of America,32.0,1
COM00974.04,Pennsylvania Mining Complex,Mine,Coal,Metallurgical coal,Underground,United States of America,8.0,1
COM00989.02,Pinnacle Complex,Mine,Coal,Metallurgical coal,Underground,United States of America,8.0,0
COM01028.01,PT Central Omega Resources Tbk,Mine,Other (poly)-metallic,Nickel,,Indonesia,10.0,1
COM01028.02,PT Central Omega Resources Tbk,Mine,Other (poly)-metallic,Nickel,,Indonesia,8.0,1
COM01028.03,PT Central Omega Resources Tbk,Mine,Other (poly)-metallic,Nickel,,Indonesia,10.0,1
COM01049.01,PT Tuah Turangga Agung,Mine,Coal,Thermal coal,,Indonesia,8.0,1
COM01049.02,PT Tuah Turangga Agung,Mine,Coal,Thermal coal,,Indonesia,11.0,1
COM01049.03,PT Tuah Turangga Agung,Mine,Coal,Thermal coal,,Indonesia,14.0,1
COM01049.04,PT Tuah Turangga Agung,Mine,Coal,Coking coal,,Indonesia,7.0,1
COM01049.05,PT Tuah Turangga Agung,Mine,Coal,Thermal coal,,Indonesia,14.0,1
COM01049.06,PT Tuah Turangga Agung,Mine,Coal,Thermal coal,,Indonesia,8.0,1
COM01053.01,Puna,Mine,Silver,,,Argentina,12.0,1
COM01053.02,Puna,Mine,Silver,,Open pit,Argentina,3.0,1
COM01061.01,Rajpura Dariba,Mine,Zinc,"Lead, Zinc",Underground,India,15.0,1
COM01064.01,Raspadskaya,Mine,Coal,Metallurgical coal,Underground,Russian Federation,48.0,1
COM01064.02,Raspadskaya,Mine,Coal,Metallurgical coal,Open pit,Russian Federation,17.0,1
COM01064.04,Raspadskaya,Mine,Coal,Metallurgical coal,Underground,Russian Federation,18.0,1
COM01074.03,Red Lake,Mine,Gold,Gold,Underground,Canada,7.0,1
COM01238.01,SUEK Primorye,Mine,Coal,Hard coal,Open pit,Russian Federation,4.0,1
COM01244.02,Sycamore and Imperial,Mine,Coal,"Metallurgical coal, Thermal coal",,United States of America,6.0,0
COM01244.04,Sycamore and Imperial,Mine,Coal,Coal,Underground,United States of America,22.0,1
COM01295.01,Tritton,Mine,Copper,Copper,Underground,Australia,17.0,1
COM01295.02,Tritton,Mine,Copper,Copper,"Open pit, Underground",Australia,5.0,1
COM01329.01,Vargem Grande,Mine,Iron,Iron,Open pit,Brazil,28.0,1
COM01329.02,Vargem Grande,Mine,Iron,Iron,Open pit,Brazil,24.0,1
COM01329.03,Vargem Grande,Mine,Iron,Iron,Open pit,Brazil,17.0,1
COM01354.02,Watagan,Mine,Coal,semi-hard coking coal,,Australia,15.0,1
COM01389.01,Yancoal International,Mine,Coal,Thermal coal,Open pit,Australia,11.0,1
COM01389.02,Yancoal International,Mine,Coal,Thermal coal,Open pit,Australia,25.0,1
COM01394.01,Yanzhou Shandong Area,Mine,Coal,Thermal coal,Underground,China,48.0,1
COM01394.02,Yanzhou Shandong Area,Mine,Coal,Thermal coal,Underground,China,40.0,1
COM01394.03,Yanzhou Shandong Area,Mine,Coal,Thermal coal,Underground,China,35.0,1
COM01394.04,Yanzhou Shandong Area,Mine,Coal,Thermal coal,Underground,China,32.0,1
COM01394.05,Yanzhou Shandong Area,Mine,Coal,Thermal coal,Underground,China,24.0,1
COM01394.06,Yanzhou Shandong Area,Mine,Coal,Thermal coal,Underground,China,21.0,1
COM01401.01,Yilgarn Project,Mine,Iron,Iron,Open pit,Australia,7.0,0
COM01402.01,Yintai Inner Mongolia,Mine,Coal,Coal,Underground,China,13.0,1
COM01402.02,Yintai Inner Mongolia,Mine,Coal,Coal,Underground,China,15.0,1
COM01402.03,Yintai Inner Mongolia,Mine,Coal,Coal,Open pit,China,13.0,1
COM01402.04,Yintai Inner Mongolia,Mine,Coal,Coal,Underground,China,14.0,1
COM01402.05,Yintai Inner Mongolia,Mine,Coal,Coal,Underground,China,13.0,1
COM01402.06,Yintai Inner Mongolia,Mine,Coal,Coal,Underground,China,13.0,1
COM01402.07,Yintai Inner Mongolia,Mine,Coal,Coal,Underground,China,14.0,1
COM01402.08,Yintai Inner Mongolia,Mine,Coal,Coal,Underground,China,13.0,1
COM01402.10,Yintai Inner Mongolia,Mine,Coal,Coal,Underground,China,5.0,1
COM01407.01,Yuzhkuzbassugol,Mine,Coal,Metallurgical coal,Underground,Russian Federation,64.0,1
COM01407.02,Yuzhkuzbassugol,Mine,Coal,Metallurgical coal,Underground,Russian Federation,37.0,1
COM01407.03,Yuzhkuzbassugol,Mine,Coal,Metallurgical coal,Underground,Russian Federation,88.0,1
COM01407.04,Yuzhkuzbassugol,Mine,Coal,Metallurgical coal,Underground,Russian Federation,19.0,1
COM01407.05,Yuzhkuzbassugol,Mine,Coal,Metallurgical coal,Underground,Russian Federation,8.0,1
