id,facility_id,year,material,commodity,mineral_value_tonnes,commodity_value_tonnes,grade_ppm,source_id,comment
30,COM00050.00,2002,O.bulk,Me.Au,1762300.0,,,filled,
30,COM00050.00,2003,O.bulk,Me.Au,1641139.0,,,filled,
30,COM00050.00,2004,O.bulk,Me.Au,1485645.0,,,filled,
30,COM00050.00,2005,O.bulk,Me.Au,1305860.0,,,filled,
30,COM00050.00,2006,O.bulk,Me.Au,1125987.0,,,filled,
30,COM00050.00,2007,O.bulk,Me.Au,946167.0,,,filled,
30,COM00050.00,2008,O.bulk,Me.Au,767198.0,,,filled,
30,COM00050.00,2009,O.bulk,Me.Au,560184.0,,,filled,
30,COM00050.00,2010,O.bulk,Me.Au,417424.0,,,filled,
30,COM00050.00,2011,O.bulk,Me.Au,271509.0,,,filled,
30,COM00050.00,2012,O.bulk,Me.Au,115667.0,,,filled,
30,COM00050.00,2013,O.bulk,Me.Au,37547.0,,,,
31,COM00051.00,2018,O.bulk,Me.Au,1139102.0,,,filled,
31,COM00051.00,2019,O.bulk,Me.Au,600000.0,0.2438058978,0.4,,
32,COM00051.00,2019,O.bulk,Me.Cu,600000.0,5900.0,9000.0,,
33,COM00052.00,2018,F.coal,,428561280.0,,,,
34,COM00054.00,2016,O.Cu,Me.Cu,768030000.0,,,filled,
34,COM00054.00,2017,O.Cu,Me.Cu,743356000.0,,,filled,
34,COM00054.00,2018,O.Cu,Me.Cu,714265500.0,,,filled,
34,COM00054.00,2019,O.Cu,Me.Cu,687000000.0,,,,
35,COM00055.00,2020,F.coal,,198000000.0,,,,
36,COM00056.00,2010,O.P,Nm.PO,135597000.0,,,filled,
36,COM00056.00,2011,O.P,Nm.PO,134415000.0,,,filled,
36,COM00056.00,2012,O.P,Nm.PO,133184000.0,,,filled,
36,COM00056.00,2013,O.P,Nm.PO,132100000.0,,,,
37,COM00066.00,2000,F.coal,,16238880.0,,,filled,
37,COM00066.00,2001,F.coal,,15513120.0,,,filled,
37,COM00066.00,2002,F.coal,,14878080.0,,,filled,
37,COM00066.00,2003,F.coal,,14333760.0,,,filled,
37,COM00066.00,2004,F.coal,,13880160.0,,,filled,
37,COM00066.00,2005,F.coal,,13698720.0,,,filled,
37,COM00066.00,2006,F.coal,,13698720.0,,,filled,
37,COM00066.00,2007,F.coal,,13698720.0,,,filled,
37,COM00066.00,2008,F.coal,,13698720.0,,,filled,
37,COM00066.00,2009,F.coal,,13517280.0,,,filled,
37,COM00066.00,2010,F.coal,,13426560.0,,,,
37,COM00066.00,2011,F.coal,,13335840.0,,,filled,
38,COM00067.00,2017,O.dig,Nm.dia,16000000.0,,,,
39,COM00072.00,2018,O.Cu,Me.Cu,,161181.0,31700.0,,
40,COM00082.00,2000,O.Mn,Me.Mn,44338000.0,,,filled,
40,COM00082.00,2001,O.Mn,Me.Mn,42938000.0,,,filled,
40,COM00082.00,2002,O.Mn,Me.Mn,41538000.0,,,filled,
40,COM00082.00,2003,O.Mn,Me.Mn,39787000.0,,,filled,
40,COM00082.00,2004,O.Mn,Me.Mn,38239000.0,,,filled,
